id|name|legend|faction_id|description|
000000705|Synapse|Some Tyranids serve as synaptic conduits or nodal relays through which a portion of the Hive Mind’s iron will flows, overriding the natural instincts of the swarm to direct the teeming warrior-beasts to function as a single, gestalt organism on the battlefield.|TYR|If your Army Faction is <span class="kwb">TYRANIDS</span>, while a <span class="kwb">TYRANIDS</span> unit from your army is within 6" of one or more friendly Synapse models, that <span class="kwb">TYRANIDS</span> unit is said to be within Synapse Range of that model and of your army. While a <span class="kwb">TYRANIDS</span> unit from your army is within Synapse Range of your army: <br><ul><li>Each time that unit takes a Battle-shock test, take that test on 3D6 instead of 2D6. </li><li>Each time a model in that unit makes a melee attack, add 1 to the Strength characteristic of that attack.</li></ul>|
000000705|Synapse|Some Tyranids serve as synaptic conduits or nodal relays through which a portion of the Hive Mind’s iron will flows, overriding the natural instincts of the swarm to direct the teeming warrior-beasts to function as a single, gestalt organism on the battlefield.|GC|If your Army Faction is <span class="kwb">TYRANIDS</span>, while a <span class="kwb">TYRANIDS</span> unit from your army is within 6" of one or more friendly Synapse models, that <span class="kwb">TYRANIDS</span> unit is said to be within Synapse Range of that model and of your army. While a <span class="kwb">TYRANIDS</span> unit from your army is within Synapse Range of your army: <br><ul><li>Each time that unit takes a Battle-shock test, take that test on 3D6 instead of 2D6. </li><li>Each time a model in that unit makes a melee attack, add 1 to the Strength characteristic of that attack.</li></ul>|
000000707|Shadow in the Warp|Tyranids flood the battlefield with the psychic signature of the hive fleet - an icy, alien dread that gnaws at the minds of their prey and smothers even the most stalwart courage. When faced with such unfathomable horror, many are driven insane or suffer catastrophic neural damage.|TYR|If your Army Faction is <span class="kwb">TYRANIDS</span>, once per battle, in either player’s Command phase, if one or more units from your army with this ability are on the battlefield, you can unleash the Shadow in the Warp. When you do, each enemy unit on the battlefield must take a Battle-shock test. Each time an enemy unit takes such a Battle-shock test, if it is within 6" of one or more Synapse units from your army, subtract 1 from that test.|
000000707|Shadow in the Warp|Tyranids flood the battlefield with the psychic signature of the hive fleet - an icy, alien dread that gnaws at the minds of their prey and smothers even the most stalwart courage. When faced with such unfathomable horror, many are driven insane or suffer catastrophic neural damage.|GC|If your Army Faction is <span class="kwb">TYRANIDS</span>, once per battle, in either player’s Command phase, if one or more units from your army with this ability are on the battlefield, you can unleash the Shadow in the Warp. When you do, each enemy unit on the battlefield must take a Battle-shock test. Each time an enemy unit takes such a Battle-shock test, if it is within 6" of one or more Synapse units from your army, subtract 1 from that test.|
000003676|Waaagh!|The infamous war cry of the Orks is known and feared throughout the galaxy. When it echoes across the battlefield, bellowed from countless toothy maws, it galvanises the Orks and riles them into a raucous state of excited aggression.|ORK|Friendly <span class="kwb">ORKS</span> units with this ability can:<br><ul><li>Re-roll <b>advance rolls.</b></li><li>Become <b>riled up</b>, as stated in other rules.<br>While a unit is <b>riled up</b>:<br><ul><li>That unit has 5+ <b>InSv</b>.</li><li>That unit’s ranged attacks have [ASSAULT].</li><li>When that unit is selected to make an <b>advance move</b>, that <b>advance move</b> does not prevent that unit from being <b>eligible to declare a charge</b>.</li></ul></li></ul><div class="blueAbility"><b>War Cry (Once per battle, per army):</b> At the start of the Command phase, you can use this ability. If you do, friendly <span class="kwb">ORKS</span> units with the <b>Waaagh!</b> ability are <b>riled up</b> until the end of the next turn.</div>|
000008334|Firing Deck|Some transports have dedicated platforms or firing ports from which embarked passengers can lay down a withering hail of munitions.||<div class="abWrap BreakInsideAvoid"><div class="abNameWrap"><div class="abName">FIRING DECK<span class="h_number">24.14</span></div><div class="abIcon"></div></div><p class="ShowFluff abLegend">Some transports have dedicated platforms or firing ports from which embarked passengers can lay down a withering hail of munitions.</p>This ability always takes the form <b>Firing Deck X</b>. In your <a href="/wh40k11ed/the-rules/core-rules/#Shooting-Phase">Shooting phase</a>, each time this <a href="/wh40k11ed/the-rules/core-rules/#Transports"><span class="kwb">TRANSPORT</span></a> is <b><b><a href="/wh40k11ed/the-rules/core-rules/#2.-Shoot">selected to shoot</a></b></b>, if one or more units are embarked within it, resolve the following sequence:<br><ol><li>Select up to <b>X</b> models embarked within this <span class="kwb">TRANSPORT</span> (excluding models whose units have already been <b>selected to shoot</b> this phase).</li><li>For each selected model, select one of its ranged weapons (excluding <span class="kwb"><span class="tooltip00093" data-tooltip-content="#tooltip_content00093"><span class="tt kwbu">[ONE</span> <span class="tt kwbu">SHOT]</span></span></span> weapons).</li><li>Until this <span class="kwb">TRANSPORT</span> has resolved all of its attacks, it has all of those selected weapons in addition to its other weapons.</li><li>Until the end of the turn, units embarked within this <span class="kwb">TRANSPORT</span> are <u>not</u> <b><b><a href="/wh40k11ed/the-rules/core-rules/#2.-Shoot">eligible to shoot</a></b></b>.</li></ol></div>|
000008336|Lone Operative|Assassins and other covert agents are difficult to pinpoint in the storm of battle.||<div class="abWrap BreakInsideAvoid"><div class="abNameWrap"><div class="abName">LONE OPERATIVE<span class="h_number">24.24</span></div><div class="abIcon"></div></div><p class="ShowFluff abLegend">Assassins and other covert agents are difficult to pinpoint in the storm of battle.</p>Unless part of an <b><b><a href="/wh40k11ed/the-rules/core-rules/#Attached-Units">attached</a></b></b> unit, this unit is <u>not</u> <b><b><span class="tooltip00008" data-tooltip-content="#tooltip_content00008"><span class="tt kwbu">visible</span></span></b></b> to enemy models unless they are within 12" of this unit, and it cannot be targeted by <span class="kwb">[INDIRECT</span> <span class="kwb">FIRE]</span> weapons unless the attacking model is within 12" of this unit.<br><br>If this ability takes the form <b>Lone Operative X"</b>, unless part of an <b>attached</b> unit, this unit is <u>not</u> <b>visible</b> to enemy models unless they are within <b>X"</b> of this unit, and it cannot be targeted by <span class="kwb">[INDIRECT</span> <span class="kwb">FIRE]</span> weapons unless the attacking model is within <b>X"</b> of this unit.</div>|
000008337|Stealth|The stealthiest warriors can evade the attentions, and the bullets, of their foes.||<div class="abWrap BreakInsideAvoid"><div class="abNameWrap"><div class="abName">STEALTH<span class="h_number">24.33</span></div><div class="abIcon"></div></div><p class="ShowFluff abLegend">The stealthiest warriors can evade the attentions, and the bullets, of their foes.</p>If every model in a unit has this ability, each time a ranged attack targets that unit, that unit has the <b>benefit of cover</b> against that attack (<span class="kwn"><span class="tooltip00103" data-tooltip-content="#tooltip_content00103"><span class="tt kwbu">13.08</span></span></span>).</div>|
000008338|Feel No Pain|The hardiest warriors refuse to be laid low, even by wounds that should by all rights prove lethal.||<div class="abWrap BreakInsideAvoid"><div class="abNameWrap"><div class="abName">FEEL NO PAIN<span class="h_number">24.12</span></div><div class="abIcon"></div></div><p class="ShowFluff abLegend">The hardiest warriors refuse to be laid low, even by wounds that should by all rights prove lethal.</p>This ability always takes the form <b>Feel No Pain X+</b>. Each time a model with this ability would lose a wound, roll one D6: on an <b>X+</b>, that wound is not lost.</div>|
000008339|Deadly Demise|From detonating ammo stores to corrosive innards or frenzied death throes, some targets are deadly even in defeat.||<div class="abWrap BreakInsideAvoid"><div class="abNameWrap"><div class="abName">DEADLY DEMISE<span class="h_number">24.08</span></div><div class="abIcon"></div></div><p class="ShowFluff abLegend">From detonating ammo stores to corrosive innards or frenzied death throes, some targets are deadly even in defeat.</p>This ability always takes the form <b>Deadly Demise X</b>. Each time a model with this ability is <b><span class="tooltip00027" data-tooltip-content="#tooltip_content00027"><span class="tt kwbu">destroyed</span></span></b>, after the units embarked within it (if any) have made their <b><span class="tooltip00104" data-tooltip-content="#tooltip_content00104"><span class="tt kwbu">emergency</span> <span class="tt kwbu">disembark</span> <span class="tt kwbu">moves</span></span></b>, roll one D6. On a 6, that model suffers a <b>deadly demise</b>; each unit within 6" of that model suffers a number of <b><span class="tooltip00025" data-tooltip-content="#tooltip_content00025"><span class="tt kwbu">mortal</span> <span class="tt kwbu">wounds</span></span></b> denoted by <b>X</b> (if this is a random number, roll separately for each unit within 6").</div>|
