datasheet_id|line|description|cost|
000000001|1|YOUR UNIT COSTS||
000000001|2|1 model|100|
000000002|1|YOUR 1ST TO 2ND UNITS COST||
000000002|2|1 model|125|
000000002|3|YOUR 3RD + UNIT COSTS||
000000002|4|1 model|140|
000000003|1|YOUR UNIT COSTS||
000000003|2|1 model|75|
000000004|1|YOUR UNIT COSTS||
000000004|2|1 model|65|
000000006|1|YOUR UNIT COSTS||
000000006|2|1 model|90|
000000008|1|YOUR UNIT COSTS||
000000008|2|1 model|300|
000000009|1|YOUR UNIT COSTS||
000000009|2|1 model|80|
000000010|1|YOUR UNIT COSTS||
000000010|2|1 model|90|
000000011|1|YOUR UNIT COSTS||
000000011|2|1 model|80|
000000012|1|YOUR UNIT COSTS||
000000012|2|1 model|45|
000000013|1|YOUR UNIT COSTS||
000000013|2|1 model|45|
000000015|1|YOUR UNIT COSTS||
000000015|2|1 model|65|
000000016|1|YOUR 1ST TO 3RD UNITS COST||
000000016|2|10 models|90|
000000016|3|20 models|180|
000000016|4|YOUR 4TH + UNIT COSTS||
000000016|5|10 models|100|
000000016|6|20 models|190|
000000017|1|YOUR UNIT COSTS||
000000017|2|10 Gretchin|45|
000000017|3|20 Gretchin|80|
000000019|1|YOUR UNIT COSTS||
000000019|2|5 models|60|
000000019|3|10 models|120|
000000020|1|YOUR 1ST TO 2ND UNITS COST||
000000020|2|6 models|145|
000000020|3|YOUR 3RD + UNIT COSTS||
000000020|4|6 models|155|
000000021|1|YOUR 1ST TO 2ND UNITS COST||
000000021|2|5 models| 125|
000000021|3|10 models| 250|
000000021|4|YOUR 3RD + UNIT COSTS||
000000021|5|5 models| 155|
000000021|6|10 models| 280|
000000021|7|WARGEAR OPTIONS||
000000021|8|per Paired Krumpas|5|
000000024|1|YOUR 1ST TO 2ND UNITS COST||
000000024|2|2 models| 75|
000000024|3|3 models| 110|
000000024|4|5 models| 185|
000000024|5|6 models| 225|
000000024|6|YOUR 3RD + UNIT COSTS||
000000024|7|2 models| 115|
000000024|8|3 models| 150|
000000024|9|5 models| 225|
000000024|10|6 models| 265|
000000024|11|WARGEAR OPTIONS||
000000024|12|per Twin Killsaws|5|
000000024|13|per Killsaw|5|
000000025|1|YOUR UNIT COSTS||
000000025|2|10 models|125|
000000026|1|YOUR 1ST TO 3RD UNITS COST||
000000026|2|1 model|60|
000000026|3|YOUR 4TH + UNIT COSTS||
000000026|4|1 model|70|
000000027|1|YOUR UNIT COSTS||
000000027|2|5 models|70|
000000027|3|10 models|140|
000000028|1|YOUR 1ST TO 2ND UNITS COST||
000000028|2|3 models|80|
000000028|3|6 models|160|
000000028|4|YOUR 3RD + UNIT COSTS||
000000028|5|3 models|90|
000000028|6|6 models|170|
000000029|1|YOUR UNIT COSTS||
000000029|2|1 model|125|
000000030|1|YOUR UNIT COSTS||
000000030|2|1 model|125|
000000031|1|YOUR UNIT COSTS||
000000031|2|1 model|115|
000000032|1|YOUR 1ST TO 2ND UNITS COST||
000000032|2|1 model|215|
000000032|3|YOUR 3RD + UNIT COSTS||
000000032|4|1 model|235|
000000033|1|YOUR UNIT COSTS||
000000033|2|3 models|75|
000000033|3|6 models|140|
000000036|1|YOUR UNIT COSTS||
000000036|2|1 model|70|
000000036|3|2 models|130|
000000038|1|YOUR 1ST TO 2ND UNITS COST||
000000038|2|1 model|55|
000000038|3|2 models|110|
000000038|4|3 models|165|
000000038|5|YOUR 3RD + UNIT COSTS||
000000038|6|1 model|65|
000000038|7|2 models|120|
000000038|8|3 models|175|
000000039|1|YOUR 1ST TO 2ND UNITS COST||
000000039|2|1 model| 150|
000000039|3|YOUR 3RD + UNIT COSTS||
000000039|4|1 model|160|
000000039|5|WARGEAR COSTS REMOVED||
000000040|1|YOUR 1ST TO 2ND UNITS COST||
000000040|2|1 model|130|
000000040|3|YOUR 3RD + UNIT COSTS||
000000040|4|1 model|140|
000000041|1|YOUR 1ST TO 2ND UNITS COST||
000000041|2|3 models|130|
000000041|3|6 models|260|
000000041|4|YOUR 3RD + UNIT COSTS||
000000041|5|3 models|150|
000000041|6|6 models|280|
000000042|1|YOUR 1ST TO 2ND UNITS COST||
000000042|2|1 model|345|
000000042|3|YOUR 3RD + UNIT COSTS||
000000042|4|1 model|375|
000000043|1|YOUR 1ST TO 2ND UNITS COST||
000000043|2|1 model|325|
000000043|3|YOUR 3RD + UNIT COSTS||
000000043|4|1 model|355|
000000044|1|YOUR 1ST TO 2ND UNITS COST||
000000044|2|5 models|50|
000000044|3|10 models|100|
000000044|4|YOUR 3RD + UNIT COSTS||
000000044|5|5 models|60|
000000044|6|10 models|110|
000000045|1|YOUR 1ST TO 2ND UNITS COST||
000000045|2|5 models|105|
000000045|3|10 models|210|
000000045|4|YOUR 3RD + UNIT COSTS||
000000045|5|5 models|135|
000000045|6|10 models|240|
000000046|1|YOUR 1ST UNIT COSTS||
000000046|2|1 model|700|
000000046|3|YOUR 2ND + UNIT COSTS||
000000046|4|1 model|800|
000000049|1|YOUR UNIT COSTS||
000000049|2|4 models|155|
000000049|3|8 models|310|
000000050|1|YOUR UNIT COSTS||
000000050|2|1 model|110|
000000053|1|YOUR UNIT COSTS||
000000053|2|1 model|135|
000000054|1|YOUR UNIT COSTS||
000000054|2|1 model|90|
000000056|1|YOUR UNIT COSTS||
000000056|2|1 model|300|
000000059|1|YOUR 1ST UNIT COSTS||
000000059|2|1 model| 500|
000000059|3|YOUR 2ND + UNIT COSTS||
000000059|4|1 model| 550|
000000060|1|YOUR UNIT COSTS||
000000060|2|YOUR UNIT COSTS||
000000060|3|1 model|70|
000000060|4|1 model|70|
000000060|5|YOUR UNIT COSTS||
000000060|6|1 model|70|
000000061|1|YOUR UNIT COSTS||
000000061|2|YOUR UNIT COSTS||
000000061|3|5 models|95|
000000061|4|5 models|95|
000000061|5|10 models|190|
000000061|6|10 models|190|
000000061|7|YOUR UNIT COSTS||
000000061|8|5 models|95|
000000061|9|10 models|190|
000000063|1|YOUR UNIT COSTS||
000000063|2|YOUR UNIT COSTS||
000000063|3|1 model|65|
000000063|4|1 model|65|
000000063|5|YOUR UNIT COSTS||
000000063|6|1 model|65|
000000064|1|YOUR UNIT COSTS||
000000064|2|YOUR UNIT COSTS||
000000064|3|5 models|115|
000000064|4|5 models|115|
000000064|5|10 models|230|
000000064|6|10 models|230|
000000064|7|YOUR UNIT COSTS||
000000064|8|5 models|115|
000000064|9|10 models|230|
000000065|1|YOUR 1ST TO 2ND UNITS COST||
000000065|2|YOUR 1ST TO 2ND UNITS COST||
000000065|3|1 model|220|
000000065|4|1 model|220|
000000065|5|YOUR 3RD + UNIT COSTS||
000000065|6|YOUR 3RD + UNIT COSTS||
000000065|7|1 model|240|
000000065|8|1 model|240|
000000065|9|YOUR 1ST TO 2ND UNITS COST||
000000065|10|1 model|220|
000000065|11|YOUR 3RD + UNIT COSTS||
000000065|12|1 model|240|
000000066|1|YOUR 1ST TO 2ND UNITS COST||
000000066|2|YOUR 1ST TO 2ND UNITS COST||
000000066|3|1 model|220|
000000066|4|1 model|220|
000000066|5|YOUR 3RD + UNIT COSTS||
000000066|6|YOUR 3RD + UNIT COSTS||
000000066|7|1 model|240|
000000066|8|1 model|240|
000000066|9|YOUR 1ST TO 2ND UNITS COST||
000000066|10|1 model|220|
000000066|11|YOUR 3RD + UNIT COSTS||
000000066|12|1 model|240|
000000067|1|YOUR UNIT COSTS||
000000067|2|YOUR UNIT COSTS||
000000067|3|1 model|250|
000000067|4|1 model|250|
000000067|5|YOUR UNIT COSTS||
000000067|6|1 model|250|
000000068|1|YOUR UNIT COSTS||
000000068|2|YOUR UNIT COSTS||
000000068|3|3 models|85|
000000068|4|3 models|85|
000000068|5|YOUR UNIT COSTS||
000000068|6|3 models|85|
000000070|1|YOUR UNIT COSTS||
000000070|2|YOUR UNIT COSTS||
000000070|3|10 models|140|
000000070|4|10 models|140|
000000070|5|YOUR UNIT COSTS||
000000070|6|10 models|140|
000000071|1|YOUR 1ST TO 2ND UNITS COST||
000000071|2|YOUR 1ST TO 2ND UNITS COST||
000000071|3|3 models|80|
000000071|4|3 models|80|
000000071|5|6 models|160|
000000071|6|6 models|160|
000000071|7|YOUR 3RD + UNIT COSTS||
000000071|8|YOUR 3RD + UNIT COSTS||
000000071|9|3 models|90|
000000071|10|3 models|90|
000000071|11|6 models|170|
000000071|12|6 models|170|
000000071|13|YOUR 1ST TO 2ND UNITS COST||
000000071|14|3 models|85|
000000071|15|6 models|170|
000000071|16|YOUR 3RD + UNIT COSTS||
000000071|17|3 models|95|
000000071|18|6 models|180|
000000071|19|YOUR 1ST TO 2ND UNITS COST||
000000071|20|3 models|80|
000000071|21|6 models|160|
000000071|22|YOUR 3RD + UNIT COSTS||
000000071|23|3 models|90|
000000071|24|6 models|170|
000000072|1|YOUR UNIT COSTS||
000000072|2|YOUR UNIT COSTS||
000000072|3|1 model|215|
000000072|4|1 model|215|
000000072|5|YOUR UNIT COSTS||
000000072|6|1 model|215|
