faction_id|name|id|cost|detachment|detachment_id|upgrade|legend|description|support_leader|
AC|Aegis Projector|000008921002|20|Talons Of The Emperor|000000861|false|This archeotech field projector triggers in response to autopremonitory danger input. It pulse-casts a temporary force field that can stave off even the most powerful attacks, before charging ready for another use.|ADEPTUS Custodes model only. Once per turn, the first time a saving throw is failed for the bearer’s unit, change the Damage characteristic of that attack to 0.||
AC|Superior Creation|000009987002|25|Lions of the Emperor|000001029|false|The cellular alchemy by which this heroic warrior was forged has rendered them breathtakingly resilient.|Adeptus Custodes Infantry model only. The first time the bearer is destroyed, roll one D6 at the end of the phase. On a 2+, set the bearer back up on the battlefield, as close as possible to where it was destroyed and not within Engagement Range of one or more enemy units, with its full wounds remaining.||
AC|Encircling Hunter|000010996002|15|Silent Hunters|000001165|false|Possessed of years’ experience hunting duplicitous and evasive witches, this Knight-Centura is skilled in ensuring every escape route is covered and their unknowing target reeling in horror and confusion.|ANATHEMA PSYKANA model only. When both players have deployed their armies, you can redeploy up to three friendly ANATHEMA PSYKANA INFANTRY units. When doing so, you can set those units up in strategic reserves, regardless of how many units are already in <b>strategic reserves</b>.||
AC|Auric Mantle|000008395002|15|Shield Host|000000765|false|This auramite weave garment is draped about its wearers shoulders before they don their battle armour. It forms a final, incredibly resilient layer of protection for them should all their other defences fail.|Shield-Captain or Blade Champion model only. Add 2 to the bearer’s Wounds characteristic.||
AC|Blade Imperator|000008930002|25|Auric Champions|000000863|false|This warrior is the Emperors own wrath made manifest, the living weapon of the Master of Mankind.|Adeptus Custodes model only. Each time the bearer’s unit ends a Charge move, select one enemy unit within Engagement Range of the bearer and roll one D6: on a 4+, that enemy unit suffers D3 mortal wounds. Once per battle, after the bearer s unit ends a Charge move, all enemy units within 6" of the bearer must take a Battle-shock test.||
AC|Voidstrider|000009264002|0|Voyagers in Darkness|000000909|false|At home in voidborne warfare, this superhuman warrior is able to move with marked purpose and speed.|Add 2" to the bearer’s Move characteristic.||
AC|Adamantine Talisman|000009753002|25|Solar Spearhead|000000986|false|This amulet contains a reservoir of promethium harvested from the wreckage of one of the Adeptus Custodes’ most ancient Land Raiders. The fluid is said to possess the last lingering traces of that ancient vehicle’s bellicose machine spirit, inspiring greater might and ferocity within its bearer.|<span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> model only. Improve the Attacks, Strength and Damage characteristics of melee weapons equipped by the bearer by 1.||
AC|Interred Expertise|000010992002|25|Might of the Moritoi|000001164|true|The eldest warriors of the Moritoi are revered champions with centuries of battle experience, whose strikes efficiently exploit their foes’ every weakness.|ADEPTUS CUSTODES WALKER unit only. This unit’s attacks can:<br><ul><li>Re-roll hit rolls of 1.</li><li>Re-roll wound rolls of 1.</li></ul>||
AC|Mnemo-Locked Shrine Cipher|000011000002|25|Tharanatoi Hammerblow|000001166|false|This encrypted activation code dates back to before the Emperor’s compact with Mars. Committed to the enhanced memory of the bearer, it can be uttered to cut through a teleportarium shrine’s layers of ageing protocols to deliver armoured death in the blink of an eye.|ADEPTUS CUSTODES TERMINATOR model only. In your first Movement phase, this unit can make an ingress move.||
AC|Enhanced Voidsheen Cloak|000008926002|10|Null Maiden Vigil|000000862|false|Now rare, enhanced voidsheen cloaks were worn by commanders of the Sisters of Silence during the Great Crusade. They are made from micro-vitrious mesh designed to diffract and absorb attacks, and include inbuilt refractor fields.|Anathema Psykana model only. Each time an attack is allocated to the bearer, subtract 1 from the Damage characteristic of that attack. If that attack was made by a <span class="kwb">PSYKER</span> or Battle-shocked model, change the Damage characteristic of that attack to 1 instead.||
