id|name|link|
AoI|Imperial Agents|https://wahapedia.ru/wh40k11ed/factions/imperial-agents|
AM|Astra Militarum|https://wahapedia.ru/wh40k11ed/factions/astra-militarum|
GC|Genestealer Cults|https://wahapedia.ru/wh40k11ed/factions/genestealer-cults|
NEC|Necrons|https://wahapedia.ru/wh40k11ed/factions/necrons|
AE|Aeldari|https://wahapedia.ru/wh40k11ed/factions/aeldari|
TL|Adeptus Titanicus|https://wahapedia.ru/wh40k11ed/factions/adeptus-titanicus|
ORK|Orks|https://wahapedia.ru/wh40k11ed/factions/orks|
GK|Grey Knights|https://wahapedia.ru/wh40k11ed/factions/grey-knights|
TAU|T’au Empire|https://wahapedia.ru/wh40k11ed/factions/t-au-empire|
LoV|Leagues of Votann|https://wahapedia.ru/wh40k11ed/factions/leagues-of-votann|
AdM|Adeptus Mechanicus|https://wahapedia.ru/wh40k11ed/factions/adeptus-mechanicus|
TS|Thousand Sons|https://wahapedia.ru/wh40k11ed/factions/thousand-sons|
DG|Death Guard|https://wahapedia.ru/wh40k11ed/factions/death-guard|
EC|Emperor’s Children|https://wahapedia.ru/wh40k11ed/factions/emperor-s-children|
WE|World Eaters|https://wahapedia.ru/wh40k11ed/factions/world-eaters|
QT|Chaos Knights|https://wahapedia.ru/wh40k11ed/factions/chaos-knights|
CD|Chaos Daemons|https://wahapedia.ru/wh40k11ed/factions/chaos-daemons|
QI|Imperial Knights|https://wahapedia.ru/wh40k11ed/factions/imperial-knights|
SM|Space Marines|https://wahapedia.ru/wh40k11ed/factions/space-marines|
TYR|Tyranids|https://wahapedia.ru/wh40k11ed/factions/tyranids|
AC|Adeptus Custodes|https://wahapedia.ru/wh40k11ed/factions/adeptus-custodes|
AS|Adepta Sororitas|https://wahapedia.ru/wh40k11ed/factions/adepta-sororitas|
CSM|Chaos Space Marines|https://wahapedia.ru/wh40k11ed/factions/chaos-space-marines|
DRU|Drukhari|https://wahapedia.ru/wh40k11ed/factions/drukhari|
UA|Unbound Adversaries|https://wahapedia.ru/wh40k11ed/factions/unbound-adversaries|
